# Export File Created with QBlade CE v2.0.9_beta windows on 07.09.2025 at 08:25:42
[Conditions_01: NREL_MIT_5MW_TLP]
Time [s]	NP Pitch Y_l [deg]
0.0000000e+00	0.0000000e+00
2.7489142e-02	5.5645232e-05
5.4978285e-02	2.0376084e-04
8.2467422e-02	4.3927549e-04
1.0995657e-01	7.5645349e-04
1.3744570e-01	1.1529460e-03
1.6493484e-01	1.6255708e-03
1.9242400e-01	2.1710568e-03
2.1991314e-01	2.7861879e-03
2.4740228e-01	3.4671584e-03
2.7489141e-01	4.2086663e-03
3.0238056e-01	5.0036977e-03
3.2986969e-01	5.8441255e-03
3.5735884e-01	6.7212251e-03
3.8484800e-01	7.6256609e-03
4.1233712e-01	8.5475761e-03
4.3982628e-01	9.4771506e-03
4.6731541e-01	1.0405130e-02
4.9480456e-01	1.1322846e-02
5.2229369e-01	1.2221995e-02
5.4978281e-01	1.3094700e-02
5.7727200e-01	1.3933828e-02
6.0476112e-01	1.4733137e-02
6.3225025e-01	1.5487147e-02
6.5973938e-01	1.6191211e-02
6.8722856e-01	1.6841872e-02
7.1471769e-01	1.7437210e-02
7.4220681e-01	1.7976837e-02
7.6969600e-01	1.8461781e-02
7.9718512e-01	1.8894607e-02
8.2467425e-01	1.9279595e-02
8.5216337e-01	1.9622579e-02
8.7965256e-01	1.9930422e-02
9.0714169e-01	2.0210458e-02
9.3463081e-01	2.0470290e-02
9.6211994e-01	2.0717856e-02
9.8960912e-01	2.0961521e-02
1.0170982e+00	2.1210114e-02
1.0445874e+00	2.1472802e-02
1.0720766e+00	2.1758771e-02
1.0995656e+00	2.2076650e-02
1.1270548e+00	2.2433907e-02
1.1545440e+00	2.2836469e-02
1.1820331e+00	2.3288749e-02
1.2095222e+00	2.3793874e-02
1.2370114e+00	2.4353931e-02
1.2645005e+00	2.4970092e-02
1.2919897e+00	2.5642648e-02
1.3194788e+00	2.6370935e-02
1.3469679e+00	2.7153239e-02
1.3744571e+00	2.7986733e-02
1.4019462e+00	2.8867519e-02
1.4294354e+00	2.9790703e-02
1.4569246e+00	3.0750513e-02
1.4844136e+00	3.1740360e-02
1.5119028e+00	3.2753017e-02
1.5393920e+00	3.3780783e-02
1.5668811e+00	3.4815621e-02
1.5943702e+00	3.5849381e-02
1.6218593e+00	3.6874037e-02
1.6493485e+00	3.7881967e-02
1.6768377e+00	3.8866181e-02
1.7043267e+00	3.9820325e-02
1.7318159e+00	4.0738564e-02
1.7593051e+00	4.1615538e-02
1.7867942e+00	4.2446617e-02
1.8142834e+00	4.3228250e-02
1.8417726e+00	4.3958265e-02
1.8692616e+00	4.4635847e-02
1.8967508e+00	4.5261268e-02
1.9242399e+00	4.5835525e-02
1.9517291e+00	4.6360109e-02
1.9792182e+00	4.6836983e-02
2.0067074e+00	4.7268637e-02
2.0341964e+00	4.7658131e-02
2.0616856e+00	4.8009075e-02
2.0891747e+00	4.8325531e-02
2.1166639e+00	4.8611842e-02
2.1441531e+00	4.8872478e-02
2.1716423e+00	4.9111869e-02
2.1991313e+00	4.9334303e-02
2.2266204e+00	4.9543865e-02
2.2541096e+00	4.9744435e-02
2.2815988e+00	4.9939666e-02
2.3090880e+00	5.0132915e-02
2.3365769e+00	5.0327126e-02
2.3640661e+00	5.0524648e-02
2.3915553e+00	5.0727129e-02
2.4190445e+00	5.0935496e-02
2.4465337e+00	5.1150005e-02
2.4740229e+00	5.1370349e-02
2.5015118e+00	5.1595710e-02
2.5290010e+00	5.1824722e-02
2.5564902e+00	5.2055374e-02
2.5839794e+00	5.2284840e-02
2.6114686e+00	5.2509502e-02
2.6389575e+00	5.2725192e-02
2.6664467e+00	5.2927636e-02
2.6939359e+00	5.3112864e-02
2.7214251e+00	5.3277448e-02
2.7489142e+00	5.3418532e-02
2.7764034e+00	5.3533860e-02
2.8038924e+00	5.3621750e-02
2.8313816e+00	5.3681117e-02
2.8588707e+00	5.3711362e-02
2.8863599e+00	5.3712215e-02
2.9138491e+00	5.3683624e-02
2.9413381e+00	5.3625774e-02
2.9688272e+00	5.3539217e-02
2.9963164e+00	5.3425081e-02
3.0238056e+00	5.3285137e-02
3.0512948e+00	5.3121828e-02
3.0787840e+00	5.2938130e-02
3.1062729e+00	5.2737370e-02
3.1337621e+00	5.2522954e-02
3.1612513e+00	5.2298114e-02
