# Export File Created with QBlade CE v2.0.9_beta windows on 12.09.2025 at 14:14:37
[Simulation_12: NREL_MIT_5MW_TLP]
Time [s]	NP Pitch Y_l [deg]
0.0000000e+00	0.0000000e+00
2.7489142e-02	1.3024241e-03
5.4978285e-02	4.9840151e-03
8.2467422e-02	1.0857663e-02
1.0995657e-01	1.8210879e-02
1.3744570e-01	2.6303386e-02
1.6493484e-01	3.4579434e-02
1.9242400e-01	4.2720467e-02
2.1991314e-01	5.0537609e-02
2.4740228e-01	5.7823822e-02
2.7489141e-01	6.4240687e-02
3.0238056e-01	6.9288179e-02
3.2986969e-01	7.2367266e-02
3.5735884e-01	7.2898671e-02
3.8484800e-01	7.0462212e-02
4.1233712e-01	6.4924732e-02
4.3982628e-01	5.6509856e-02
4.6731541e-01	4.5787789e-02
4.9480456e-01	3.3619415e-02
5.2229369e-01	2.1089992e-02
5.4978281e-01	9.4028227e-03
5.7727200e-01	-3.2227687e-04
6.0476112e-01	-7.3198634e-03
6.3225025e-01	-1.1389630e-02
6.5973938e-01	-1.2911856e-02
6.8722856e-01	-1.2630427e-02
7.1471769e-01	-1.1296026e-02
7.4220681e-01	-9.3394220e-03
7.6969600e-01	-6.6981963e-03
7.9718512e-01	-2.7996842e-03
8.2467425e-01	3.3360186e-03
8.5216337e-01	1.2843735e-02
8.7965256e-01	2.6579333e-02
9.0714169e-01	4.4627294e-02
9.3463081e-01	6.6032909e-02
9.6211994e-01	8.8984258e-02
9.8960912e-01	1.1140517e-01
1.0170982e+00	1.3168104e-01
1.0445874e+00	1.4918718e-01
1.0720766e+00	1.6440874e-01
1.0995656e+00	1.7864048e-01
1.1270548e+00	1.9342297e-01
1.1545440e+00	2.0994022e-01
1.1820331e+00	2.2857828e-01
1.2095222e+00	2.4876867e-01
1.2370114e+00	2.6915038e-01
1.2645005e+00	2.8799033e-01
1.2919897e+00	3.0369574e-01
1.3194788e+00	3.1520447e-01
1.3469679e+00	3.2212430e-01
1.3744571e+00	3.2462367e-01
1.4019462e+00	3.2313952e-01
1.4294354e+00	3.1801805e-01
1.4569246e+00	3.0926827e-01
1.4844136e+00	2.9654786e-01
1.5119028e+00	2.7933615e-01
1.5393920e+00	2.5717831e-01
1.5668811e+00	2.2993715e-01
1.5943702e+00	1.9798838e-01
1.6218593e+00	1.6223951e-01
1.6493485e+00	1.2392414e-01
1.6768377e+00	8.4306709e-02
1.7043267e+00	4.4461261e-02
1.7318159e+00	5.1606926e-03
1.7593051e+00	-3.3121843e-02
1.7867942e+00	-7.0078105e-02
1.8142834e+00	-1.0536662e-01
1.8417726e+00	-1.3848379e-01
1.8692616e+00	-1.6874662e-01
1.8967508e+00	-1.9535154e-01
1.9242399e+00	-2.1749549e-01
1.9517291e+00	-2.3454544e-01
1.9792182e+00	-2.4618427e-01
2.0067074e+00	-2.5244033e-01
2.0341964e+00	-2.5356981e-01
2.0616856e+00	-2.4987830e-01
2.0891747e+00	-2.4163881e-01
2.1166639e+00	-2.2916995e-01
2.1441531e+00	-2.1296151e-01
2.1716423e+00	-1.9369295e-01
2.1991313e+00	-1.7211962e-01
2.2266204e+00	-1.4891949e-01
2.2541096e+00	-1.2460563e-01
2.2815988e+00	-9.9555694e-02
2.3090880e+00	-7.4134588e-02
2.3365769e+00	-4.8820678e-02
2.3640661e+00	-2.4254123e-02
2.3915553e+00	-1.2010355e-03
2.4190445e+00	1.9520944e-02
2.4465337e+00	3.7123270e-02
2.4740229e+00	5.0928749e-02
2.5015118e+00	6.0444832e-02
2.5290010e+00	6.5390542e-02
2.5564902e+00	6.5647192e-02
2.5839794e+00	6.1170895e-02
2.6114686e+00	5.1958956e-02
2.6389575e+00	3.8115889e-02
2.6664467e+00	1.9970756e-02
2.6939359e+00	-1.8347320e-03
2.7214251e+00	-2.6339727e-02
2.7489142e+00	-5.2363310e-02
2.7764034e+00	-7.8697093e-02
2.8038924e+00	-1.0432263e-01
2.8313816e+00	-1.2855382e-01
2.8588707e+00	-1.5103397e-01
2.8863599e+00	-1.7158793e-01
2.9138491e+00	-1.9000240e-01
2.9413381e+00	-2.0585114e-01
2.9688272e+00	-2.1846542e-01
2.9963164e+00	-2.2707188e-01
3.0238056e+00	-2.3100561e-01
3.0512948e+00	-2.2985169e-01
3.0787840e+00	-2.2345167e-01
3.1062729e+00	-2.1184817e-01
3.1337621e+00	-1.9525605e-01
3.1612513e+00	-1.7404979e-01
3.1887405e+00	-1.4870907e-01
3.2162297e+00	-1.1971872e-01
3.2437186e+00	-8.7471373e-02
3.2712078e+00	-5.2216839e-02
3.2986970e+00	-1.4072090e-02
3.3261862e+00	2.6917621e-02
3.3536754e+00	7.0673436e-02
3.3811646e+00	1.1693618e-01
3.4086535e+00	1.6511896e-01
3.4361427e+00	2.1424839e-01
3.4636319e+00	2.6305458e-01
3.4911211e+00	3.1017008e-01
3.5186102e+00	3.5433301e-01
3.5460992e+00	3.9452308e-01
3.5735884e+00	4.3003348e-01
3.6010776e+00	4.6050560e-01
3.6285667e+00	4.8592409e-01
3.6560559e+00	5.0653827e-01
3.6835451e+00	5.2269763e-01
3.7110341e+00	5.3465229e-01
3.7385232e+00	5.4241371e-01
3.7660124e+00	5.4575986e-01
3.7935016e+00	5.4438984e-01
3.8209908e+00	5.3813219e-01
3.8484797e+00	5.2708203e-01
3.8759689e+00	5.1160473e-01
3.9034581e+00	4.9225318e-01
3.9309473e+00	4.6969199e-01
3.9584365e+00	4.4468227e-01
3.9859257e+00	4.1809171e-01
4.0134149e+00	3.9086661e-01
4.0409040e+00	3.6394089e-01
4.0683928e+00	3.3810636e-01
4.0958819e+00	3.1390288e-01
4.1233711e+00	2.9159200e-01
4.1508603e+00	2.7123532e-01
4.1783495e+00	2.5282010e-01
4.2058387e+00	2.3635614e-01
4.2333279e+00	2.2192188e-01
4.2608171e+00	2.0968381e-01
4.2883062e+00	1.9988714e-01
4.3157954e+00	1.9279039e-01
4.3432846e+00	1.8855330e-01
4.3707733e+00	1.8714468e-01
4.3982625e+00	1.8832350e-01
4.4257517e+00	1.9167963e-01
4.4532409e+00	1.9668718e-01
4.4807301e+00	2.0275457e-01
4.5082192e+00	2.0928517e-01
4.5357084e+00	2.1574131e-01
4.5631976e+00	2.2167511e-01
4.5906868e+00	2.2670683e-01
4.6181760e+00	2.3047598e-01
4.6456652e+00	2.3260637e-01
4.6731539e+00	2.3270129e-01
4.7006431e+00	2.3036101e-01
4.7281322e+00	2.2520846e-01
4.7556214e+00	2.1691655e-01
4.7831106e+00	2.0523196e-01
