# Export File Created with QBlade CE v2.0.9_beta windows on 07.09.2025 at 08:26:12
[Conditions_01: NREL_MIT_5MW_TLP]
Time [s]	NP Wave Elevation [m]
0.0000000e+00	-8.6105371e-01
2.7489142e-02	-8.6177534e-01
5.4978285e-02	-8.6238807e-01
8.2467422e-02	-8.6289352e-01
1.0995657e-01	-8.6329520e-01
1.3744570e-01	-8.6359715e-01
1.6493484e-01	-8.6380303e-01
1.9242400e-01	-8.6391401e-01
2.1991314e-01	-8.6393434e-01
2.4740228e-01	-8.6386633e-01
2.7489141e-01	-8.6371297e-01
3.0238056e-01	-8.6347663e-01
3.2986969e-01	-8.6315966e-01
3.5735884e-01	-8.6276495e-01
3.8484800e-01	-8.6229312e-01
4.1233712e-01	-8.6174846e-01
4.3982628e-01	-8.6112994e-01
4.6731541e-01	-8.6044115e-01
4.9480456e-01	-8.5968292e-01
5.2229369e-01	-8.5885602e-01
5.4978281e-01	-8.5796231e-01
5.7727200e-01	-8.5700178e-01
6.0476112e-01	-8.5597569e-01
6.3225025e-01	-8.5488397e-01
6.5973938e-01	-8.5372722e-01
6.8722856e-01	-8.5250491e-01
7.1471769e-01	-8.5121667e-01
7.4220681e-01	-8.4986258e-01
7.6969600e-01	-8.4844166e-01
7.9718512e-01	-8.4695292e-01
8.2467425e-01	-8.4539640e-01
8.5216337e-01	-8.4376824e-01
8.7965256e-01	-8.4207004e-01
9.0714169e-01	-8.4029740e-01
9.3463081e-01	-8.3844823e-01
9.6211994e-01	-8.3652234e-01
9.8960912e-01	-8.3451623e-01
1.0170982e+00	-8.3242589e-01
1.0445874e+00	-8.3025074e-01
1.0720766e+00	-8.2798582e-01
1.0995656e+00	-8.2562971e-01
1.1270548e+00	-8.2317728e-01
1.1545440e+00	-8.2062662e-01
1.1820331e+00	-8.1797212e-01
1.2095222e+00	-8.1521100e-01
1.2370114e+00	-8.1233978e-01
1.2645005e+00	-8.0935371e-01
1.2919897e+00	-8.0624813e-01
1.3194788e+00	-8.0302024e-01
1.3469679e+00	-7.9966420e-01
1.3744571e+00	-7.9617620e-01
1.4019462e+00	-7.9255152e-01
1.4294354e+00	-7.8878605e-01
1.4569246e+00	-7.8487527e-01
1.4844136e+00	-7.8081346e-01
1.5119028e+00	-7.7659631e-01
1.5393920e+00	-7.7222025e-01
1.5668811e+00	-7.6767945e-01
1.5943702e+00	-7.6296991e-01
1.6218593e+00	-7.5808644e-01
1.6493485e+00	-7.5302458e-01
1.6768377e+00	-7.4777961e-01
1.7043267e+00	-7.4234813e-01
1.7318159e+00	-7.3672390e-01
1.7593051e+00	-7.3090351e-01
1.7867942e+00	-7.2488320e-01
1.8142834e+00	-7.1865761e-01
1.8417726e+00	-7.1222341e-01
1.8692616e+00	-7.0557582e-01
1.8967508e+00	-6.9871134e-01
1.9242399e+00	-6.9162774e-01
1.9517291e+00	-6.8432003e-01
1.9792182e+00	-6.7678523e-01
2.0067074e+00	-6.6902018e-01
2.0341964e+00	-6.6102141e-01
2.0616856e+00	-6.5278780e-01
2.0891747e+00	-6.4431554e-01
2.1166639e+00	-6.3560271e-01
2.1441531e+00	-6.2664759e-01
2.1716423e+00	-6.1744839e-01
2.1991313e+00	-6.0800391e-01
2.2266204e+00	-5.9831297e-01
2.2541096e+00	-5.8837432e-01
2.2815988e+00	-5.7818753e-01
2.3090880e+00	-5.6775266e-01
2.3365769e+00	-5.5706948e-01
2.3640661e+00	-5.4613864e-01
2.3915553e+00	-5.3496021e-01
2.4190445e+00	-5.2353609e-01
2.4465337e+00	-5.1186711e-01
2.4740229e+00	-4.9995491e-01
2.5015118e+00	-4.8780131e-01
2.5290010e+00	-4.7540882e-01
2.5564902e+00	-4.6278039e-01
2.5839794e+00	-4.4991738e-01
2.6114686e+00	-4.3682507e-01
2.6389575e+00	-4.2350572e-01
2.6664467e+00	-4.0996337e-01
2.6939359e+00	-3.9620230e-01
2.7214251e+00	-3.8222688e-01
2.7489142e+00	-3.6804178e-01
2.7764034e+00	-3.5365286e-01
2.8038924e+00	-3.3906490e-01
2.8313816e+00	-3.2428402e-01
2.8588707e+00	-3.0931640e-01
2.8863599e+00	-2.9416808e-01
2.9138491e+00	-2.7884644e-01
2.9413381e+00	-2.6335809e-01
2.9688272e+00	-2.4771029e-01
2.9963164e+00	-2.3191082e-01
3.0238056e+00	-2.1596771e-01
3.0512948e+00	-1.9988909e-01
3.0787840e+00	-1.8368337e-01
3.1062729e+00	-1.6735931e-01
3.1337621e+00	-1.5092538e-01
3.1612513e+00	-1.3439131e-01
3.1887405e+00	-1.1776661e-01
3.2162297e+00	-1.0106011e-01
3.2437186e+00	-8.4282219e-02
3.2712078e+00	-6.7442462e-02
3.2986970e+00	-5.0550696e-02
3.3261862e+00	-3.3617225e-02
3.3536754e+00	-1.6652120e-02
3.3811646e+00	3.3395621e-04
3.4086535e+00	1.7330397e-02
3.4361427e+00	3.4327254e-02
3.4636319e+00	5.1313382e-02
3.4911211e+00	6.8278633e-02
3.5186102e+00	8.5212067e-02
3.5460992e+00	1.0210305e-01
3.5735884e+00	1.1894123e-01
3.6010776e+00	1.3571605e-01
3.6285667e+00	1.5241733e-01
3.6560559e+00	1.6903393e-01
3.6835451e+00	1.8555592e-01
3.7110341e+00	2.0197305e-01
3.7385232e+00	2.1827509e-01
3.7660124e+00	2.3445193e-01
3.7935016e+00	2.5049388e-01
3.8209908e+00	2.6639104e-01
3.8484797e+00	2.8213388e-01
3.8759689e+00	2.9771280e-01
3.9034581e+00	3.1311846e-01
3.9309473e+00	3.2834187e-01
3.9584365e+00	3.4337381e-01
3.9859257e+00	3.5820585e-01
4.0134149e+00	3.7282935e-01
4.0409040e+00	3.8723543e-01
4.0683928e+00	4.0141630e-01
4.0958819e+00	4.1536462e-01
4.1233711e+00	4.2907226e-01
4.1508603e+00	4.4253221e-01
4.1783495e+00	4.5573780e-01
4.2058387e+00	4.6868154e-01
4.2333279e+00	4.8135790e-01
4.2608171e+00	4.9376068e-01
4.2883062e+00	5.0588399e-01
4.3157954e+00	5.1772308e-01
4.3432846e+00	5.2927291e-01
4.3707733e+00	5.4052889e-01
4.3982625e+00	5.5148727e-01
4.4257517e+00	5.6214404e-01
4.4532409e+00	5.7249564e-01
4.4807301e+00	5.8253956e-01
4.5082192e+00	5.9227335e-01
4.5357084e+00	6.0169393e-01
4.5631976e+00	6.1080021e-01
4.5906868e+00	6.1959022e-01
4.6181760e+00	6.2806302e-01
4.6456652e+00	6.3621813e-01
4.6731539e+00	6.4405423e-01
4.7006431e+00	6.5157229e-01
4.7281322e+00	6.5877253e-01
4.7556214e+00	6.6565514e-01
4.7831106e+00	6.7222100e-01
4.8105998e+00	6.7847246e-01
4.8380890e+00	6.8441039e-01
4.8655782e+00	6.9003755e-01
4.8930674e+00	6.9535583e-01
4.9205565e+00	7.0036793e-01
4.9480457e+00	7.0507789e-01
4.9755344e+00	7.0948780e-01
5.0030236e+00	7.1360195e-01
5.0305128e+00	7.1742487e-01
5.0580020e+00	7.2095990e-01
5.0854912e+00	7.2421175e-01
5.1129804e+00	7.2718555e-01
5.1404696e+00	7.2988611e-01
5.1679587e+00	7.3231870e-01
5.1954479e+00	7.3448926e-01
5.2229371e+00	7.3640311e-01
5.2504263e+00	7.3806578e-01
5.2779150e+00	7.3948419e-01
5.3054042e+00	7.4066424e-01
5.3328934e+00	7.4161255e-01
5.3603826e+00	7.4233669e-01
5.3878717e+00	7.4284178e-01
5.4153609e+00	7.4313539e-01
5.4428501e+00	7.4322516e-01
5.4703393e+00	7.4311727e-01
5.4978285e+00	7.4281967e-01
5.5253177e+00	7.4233806e-01
5.5528069e+00	7.4168152e-01
5.5802956e+00	7.4085587e-01
5.6077847e+00	7.3986924e-01
5.6352739e+00	7.3872834e-01
5.6627631e+00	7.3744106e-01
5.6902523e+00	7.3601353e-01
5.7177415e+00	7.3445290e-01
5.7452307e+00	7.3276711e-01
5.7727199e+00	7.3096198e-01
5.8002090e+00	7.2904539e-01
5.8276982e+00	7.2702372e-01
5.8551874e+00	7.2490394e-01
5.8826761e+00	7.2269219e-01
5.9101653e+00	7.2039431e-01
5.9376545e+00	7.1801865e-01
5.9651437e+00	7.1556902e-01
5.9926329e+00	7.1305245e-01
6.0201221e+00	7.1047509e-01
6.0476112e+00	7.0784181e-01
6.0751004e+00	7.0515817e-01
6.1025896e+00	7.0242983e-01
6.1300788e+00	6.9966114e-01
6.1575680e+00	6.9685674e-01
6.1850567e+00	6.9402242e-01
6.2125459e+00	6.9116086e-01
6.2400351e+00	6.8827736e-01
6.2675242e+00	6.8537498e-01
6.2950134e+00	6.8245667e-01
6.3225026e+00	6.7952645e-01
6.3499918e+00	6.7658722e-01
6.3774810e+00	6.7364067e-01
6.4049702e+00	6.7069066e-01
6.4324594e+00	6.6773748e-01
6.4599485e+00	6.6478360e-01
6.4874372e+00	6.6183019e-01
6.5149264e+00	6.5887868e-01
6.5424156e+00	6.5592855e-01
6.5699048e+00	6.5298164e-01
6.5973940e+00	6.5003765e-01
6.6248832e+00	6.4709532e-01
6.6523724e+00	6.4415485e-01
6.6798615e+00	6.4121598e-01
6.7073507e+00	6.3827634e-01
6.7348399e+00	6.3533628e-01
6.7623291e+00	6.3239199e-01
6.7898178e+00	6.2944341e-01
6.8173070e+00	6.2648755e-01
6.8447962e+00	6.2352186e-01
6.8722854e+00	6.2054372e-01
6.8997746e+00	6.1755061e-01
6.9272637e+00	6.1454010e-01
6.9547529e+00	6.1150712e-01
6.9822421e+00	6.0845000e-01
7.0097313e+00	6.0536408e-01
7.0372205e+00	6.0224569e-01
7.0647097e+00	5.9909141e-01
7.0921984e+00	5.9589684e-01
7.1196876e+00	5.9265715e-01
7.1471767e+00	5.8936954e-01
7.1746659e+00	5.8602703e-01
7.2021551e+00	5.8262789e-01
7.2296443e+00	5.7916540e-01
7.2571335e+00	5.7563639e-01
7.2846227e+00	5.7203472e-01
7.3121119e+00	5.6835711e-01
7.3396010e+00	5.6459773e-01
7.3670902e+00	5.6075162e-01
7.3945789e+00	5.5681539e-01
7.4220681e+00	5.5278277e-01
7.4495573e+00	5.4865003e-01
7.4770465e+00	5.4441214e-01
7.5045357e+00	5.4006374e-01
7.5320249e+00	5.3560215e-01
7.5595140e+00	5.3102297e-01
7.5870032e+00	5.2632105e-01
7.6144924e+00	5.2149278e-01
7.6419816e+00	5.1653481e-01
7.6694708e+00	5.1144356e-01
7.6969595e+00	5.0621539e-01
7.7244487e+00	5.0084794e-01
7.7519379e+00	4.9533805e-01
7.7794271e+00	4.8968273e-01
7.8069162e+00	4.8388013e-01
7.8344054e+00	4.7792840e-01
