# Export File Created with QBlade CE v2.0.9_beta windows on 12.09.2025 at 14:14:58
[Simulation_12: NREL_MIT_5MW_TLP]
Time [s]	NP Wave Elevation [m]
0.0000000e+00	-2.2286096e+00
2.7489142e-02	-2.2303121e+00
5.4978285e-02	-2.2317984e+00
8.2467422e-02	-2.2330716e+00
1.0995657e-01	-2.2341304e+00
1.3744570e-01	-2.2349806e+00
1.6493484e-01	-2.2356234e+00
1.9242400e-01	-2.2360618e+00
2.1991314e-01	-2.2363005e+00
2.4740228e-01	-2.2363412e+00
2.7489141e-01	-2.2361910e+00
3.0238056e-01	-2.2358515e+00
3.2986969e-01	-2.2353253e+00
3.5735884e-01	-2.2346115e+00
3.8484800e-01	-2.2337215e+00
4.1233712e-01	-2.2326548e+00
4.3982628e-01	-2.2314234e+00
4.6731541e-01	-2.2300365e+00
4.9480456e-01	-2.2285013e+00
5.2229369e-01	-2.2268260e+00
5.4978281e-01	-2.2250152e+00
5.7727200e-01	-2.2230780e+00
6.0476112e-01	-2.2210083e+00
6.3225025e-01	-2.2188106e+00
6.5973938e-01	-2.2164814e+00
6.8722856e-01	-2.2140148e+00
7.1471769e-01	-2.2114124e+00
7.4220681e-01	-2.2086728e+00
7.6969600e-01	-2.2057972e+00
7.9718512e-01	-2.2027793e+00
8.2467425e-01	-2.1996150e+00
8.5216337e-01	-2.1962991e+00
8.7965256e-01	-2.1928260e+00
9.0714169e-01	-2.1891835e+00
9.3463081e-01	-2.1853690e+00
9.6211994e-01	-2.1813900e+00
9.8960912e-01	-2.1772437e+00
1.0170982e+00	-2.1729329e+00
1.0445874e+00	-2.1684654e+00
1.0720766e+00	-2.1638339e+00
1.0995656e+00	-2.1590312e+00
1.1270548e+00	-2.1540434e+00
1.1545440e+00	-2.1488607e+00
1.1820331e+00	-2.1434717e+00
1.2095222e+00	-2.1378758e+00
1.2370114e+00	-2.1320713e+00
1.2645005e+00	-2.1260679e+00
1.2919897e+00	-2.1198728e+00
1.3194788e+00	-2.1134861e+00
1.3469679e+00	-2.1069090e+00
1.3744571e+00	-2.1001346e+00
1.4019462e+00	-2.0931509e+00
1.4294354e+00	-2.0859528e+00
1.4569246e+00	-2.0785306e+00
1.4844136e+00	-2.0708790e+00
1.5119028e+00	-2.0629930e+00
1.5393920e+00	-2.0548663e+00
1.5668811e+00	-2.0464895e+00
1.5943702e+00	-2.0378489e+00
1.6218593e+00	-2.0289209e+00
1.6493485e+00	-2.0196865e+00
1.6768377e+00	-2.0101228e+00
1.7043267e+00	-2.0002089e+00
1.7318159e+00	-1.9899259e+00
1.7593051e+00	-1.9792606e+00
1.7867942e+00	-1.9682001e+00
1.8142834e+00	-1.9567297e+00
1.8417726e+00	-1.9448391e+00
1.8692616e+00	-1.9325166e+00
1.8967508e+00	-1.9197538e+00
1.9242399e+00	-1.9065418e+00
1.9517291e+00	-1.8928804e+00
1.9792182e+00	-1.8787689e+00
2.0067074e+00	-1.8642094e+00
2.0341964e+00	-1.8492062e+00
2.0616856e+00	-1.8337642e+00
2.0891747e+00	-1.8178850e+00
2.1166639e+00	-1.8015758e+00
2.1441531e+00	-1.7848377e+00
2.1716423e+00	-1.7676766e+00
2.1991313e+00	-1.7500898e+00
2.2266204e+00	-1.7320766e+00
2.2541096e+00	-1.7136343e+00
2.2815988e+00	-1.6947613e+00
2.3090880e+00	-1.6754535e+00
2.3365769e+00	-1.6557080e+00
2.3640661e+00	-1.6355147e+00
