# Export File Created with QBlade CE v2.0.9_beta windows on 07.09.2025 at 08:26:01
[Conditions_01: NREL_MIT_5MW_TLP]
Time [s]	Abs Meas. Wind Vel. at Hub [m/s]
0.0000000e+00	3.6649437e+00
2.7489142e-02	3.6641362e+00
5.4978285e-02	3.6397979e+00
8.2467422e-02	3.6284008e+00
1.0995657e-01	3.6717687e+00
1.3744570e-01	3.7160363e+00
1.6493484e-01	3.7611661e+00
1.9242400e-01	3.7591772e+00
2.1991314e-01	3.7172923e+00
2.4740228e-01	3.6757216e+00
2.7489141e-01	3.6345015e+00
3.0238056e-01	3.6605093e+00
3.2986969e-01	3.6960635e+00
3.5735884e-01	3.7333164e+00
3.8484800e-01	3.7547126e+00
4.1233712e-01	3.7214909e+00
4.3982628e-01	3.6887798e+00
4.6731541e-01	3.6566079e+00
4.9480456e-01	3.6276543e+00
5.2229369e-01	3.6007819e+00
5.4978281e-01	3.5739269e+00
5.7727200e-01	3.5470717e+00
6.0476112e-01	3.5312304e+00
6.3225025e-01	3.5164866e+00
6.5973938e-01	3.5017467e+00
6.8722856e-01	3.4991376e+00
7.1471769e-01	3.5377069e+00
7.4220681e-01	3.5768099e+00
7.6969600e-01	3.6164196e+00
7.9718512e-01	3.6276174e+00
8.2467425e-01	3.6143198e+00
8.5216337e-01	3.6011016e+00
8.7965256e-01	3.5880115e+00
9.0714169e-01	3.5588033e+00
9.3463081e-01	3.5269887e+00
9.6211994e-01	3.4957111e+00
9.8960912e-01	3.4659600e+00
1.0170982e+00	3.4429948e+00
1.0445874e+00	3.4204049e+00
1.0720766e+00	3.3981771e+00
1.0995656e+00	3.3936272e+00
1.1270548e+00	3.4139602e+00
1.1545440e+00	3.4349923e+00
1.1820331e+00	3.4566891e+00
1.2095222e+00	3.4746413e+00
1.2370114e+00	3.4911230e+00
1.2645005e+00	3.5079389e+00
1.2919897e+00	3.5250313e+00
1.3194788e+00	3.4861143e+00
1.3469679e+00	3.4459035e+00
1.3744571e+00	3.4056785e+00
1.4019462e+00	3.3851202e+00
1.4294354e+00	3.4215920e+00
1.4569246e+00	3.4581039e+00
1.4844136e+00	3.4946108e+00
1.5119028e+00	3.5036924e+00
1.5393920e+00	3.4887002e+00
1.5668811e+00	3.4737546e+00
1.5943702e+00	3.4589028e+00
1.6218593e+00	3.4678082e+00
1.6493485e+00	3.4829085e+00
1.6768377e+00	3.4984653e+00
1.7043267e+00	3.5184653e+00
1.7318159e+00	3.5957735e+00
1.7593051e+00	3.6733999e+00
1.7867942e+00	3.7512975e+00
1.8142834e+00	3.8110363e+00
1.8417726e+00	3.8319123e+00
1.8692616e+00	3.8531840e+00
1.8967508e+00	3.8748353e+00
1.9242399e+00	3.8725581e+00
1.9517291e+00	3.8524508e+00
1.9792182e+00	3.8332357e+00
2.0067074e+00	3.8149350e+00
2.0341964e+00	3.7636704e+00
2.0616856e+00	3.7046645e+00
2.0891747e+00	3.6460247e+00
2.1166639e+00	3.5899377e+00
2.1441531e+00	3.5878105e+00
2.1716423e+00	3.5858467e+00
2.1991313e+00	3.5840752e+00
2.2266204e+00	3.5889874e+00
2.2541096e+00	3.6125159e+00
2.2815988e+00	3.6369886e+00
2.3090880e+00	3.6623948e+00
2.3365769e+00	3.6755850e+00
2.3640661e+00	3.6752901e+00
2.3915553e+00	3.6752501e+00
2.4190445e+00	3.6754251e+00
2.4465337e+00	3.6669528e+00
2.4740229e+00	3.6548836e+00
2.5015118e+00	3.6428938e+00
2.5290010e+00	3.6309185e+00
2.5564902e+00	3.6075361e+00
2.5839794e+00	3.5831523e+00
2.6114686e+00	3.5587351e+00
2.6389575e+00	3.5406744e+00
2.6664467e+00	3.5675402e+00
2.6939359e+00	3.5944386e+00
2.7214251e+00	3.6213849e+00
2.7489142e+00	3.6480479e+00
2.7764034e+00	3.6738594e+00
2.8038924e+00	3.6994705e+00
2.8313816e+00	3.7249138e+00
2.8588707e+00	3.7394040e+00
2.8863599e+00	3.7435868e+00
2.9138491e+00	3.7480164e+00
2.9413381e+00	3.7527490e+00
2.9688272e+00	3.7064064e+00
2.9963164e+00	3.6356101e+00
3.0238056e+00	3.5652046e+00
3.0512948e+00	3.4952183e+00
3.0787840e+00	3.4640200e+00
3.1062729e+00	3.4416051e+00
3.1337621e+00	3.4195139e+00
3.1612513e+00	3.3977437e+00
3.1887405e+00	3.3655524e+00
3.2162297e+00	3.3333328e+00
3.2437186e+00	3.3017256e+00
3.2712078e+00	3.2705002e+00
3.2986970e+00	3.2354422e+00
3.3261862e+00	3.2010083e+00
3.3536754e+00	3.1672328e+00
3.3811646e+00	3.1495790e+00
3.4086535e+00	3.2286856e+00
3.4361427e+00	3.3081896e+00
3.4636319e+00	3.3880618e+00
3.4911211e+00	3.4481404e+00
3.5186102e+00	3.4315927e+00
3.5460992e+00	3.4157760e+00
3.5735884e+00	3.4006960e+00
3.6010776e+00	3.3768079e+00
3.6285667e+00	3.3267560e+00
3.6560559e+00	3.2786496e+00
3.6835451e+00	3.2325242e+00
3.7110341e+00	3.1927104e+00
3.7385232e+00	3.1643510e+00
3.7660124e+00	3.1361954e+00
3.7935016e+00	3.1082766e+00
3.8209908e+00	3.0927050e+00
3.8484797e+00	3.1055937e+00
3.8759689e+00	3.1185672e+00
3.9034581e+00	3.1316290e+00
3.9309473e+00	3.1388848e+00
3.9584365e+00	3.1323581e+00
3.9859257e+00	3.1271925e+00
4.0134149e+00	3.1234567e+00
4.0409040e+00	3.1185968e+00
4.0683928e+00	3.1068962e+00
4.0958819e+00	3.0958254e+00
4.1233711e+00	3.0854111e+00
4.1508603e+00	3.0741034e+00
4.1783495e+00	3.0568111e+00
4.2058387e+00	3.0400143e+00
4.2333279e+00	3.0236630e+00
4.2608171e+00	3.0050826e+00
4.2883062e+00	2.9674845e+00
4.3157954e+00	2.9301441e+00
4.3432846e+00	2.8930633e+00
4.3707733e+00	2.8571906e+00
4.3982625e+00	2.8523681e+00
4.4257517e+00	2.8480515e+00
4.4532409e+00	2.8442044e+00
4.4807301e+00	2.8408074e+00
4.5082192e+00	2.8629758e+00
4.5357084e+00	2.8873131e+00
4.5631976e+00	2.9118316e+00
4.5906868e+00	2.9365282e+00
4.6181760e+00	2.9765127e+00
4.6456652e+00	3.0208547e+00
4.6731539e+00	3.0661047e+00
4.7006431e+00	3.1122537e+00
4.7281322e+00	3.1229091e+00
4.7556214e+00	3.1168497e+00
4.7831106e+00	3.1110039e+00
4.8105998e+00	3.1053698e+00
4.8380890e+00	3.0805669e+00
4.8655782e+00	3.0402339e+00
4.8930674e+00	3.0013561e+00
4.9205565e+00	2.9639754e+00
4.9480457e+00	2.9554226e+00
4.9755344e+00	2.9914222e+00
5.0030236e+00	3.0274467e+00
5.0305128e+00	3.0634720e+00
5.0580020e+00	3.0881054e+00
5.0854912e+00	3.0719995e+00
5.1129804e+00	3.0562654e+00
5.1404696e+00	3.0409899e+00
5.1679587e+00	3.0256722e+00
5.1954479e+00	2.9975941e+00
5.2229371e+00	2.9700210e+00
5.2504263e+00	2.9429228e+00
5.2779150e+00	2.9162705e+00
5.3054042e+00	2.9190848e+00
5.3328934e+00	2.9274685e+00
5.3603826e+00	2.9365888e+00
5.3878717e+00	2.9464779e+00
5.4153609e+00	2.9569805e+00
5.4428501e+00	2.9679749e+00
5.4703393e+00	2.9795306e+00
5.4978285e+00	2.9916368e+00
5.5253177e+00	3.0029752e+00
5.5528069e+00	3.0132155e+00
5.5802956e+00	3.0236866e+00
5.6077847e+00	3.0343616e+00
5.6352739e+00	3.0504556e+00
5.6627631e+00	3.0799606e+00
5.6902523e+00	3.1100008e+00
5.7177415e+00	3.1405447e+00
5.7452307e+00	3.1626232e+00
5.7727199e+00	3.1104598e+00
5.8002090e+00	3.0584407e+00
5.8276982e+00	3.0065558e+00
5.8551874e+00	2.9548054e+00
5.8826761e+00	2.9306583e+00
5.9101653e+00	2.9085600e+00
5.9376545e+00	2.8866847e+00
5.9651437e+00	2.8650811e+00
5.9926329e+00	2.8870981e+00
6.0201221e+00	2.9222114e+00
6.0476112e+00	2.9579923e+00
6.0751004e+00	2.9944088e+00
6.1025896e+00	3.0212278e+00
6.1300788e+00	3.0422258e+00
6.1575680e+00	3.0633011e+00
6.1850567e+00	3.0843759e+00
6.2125459e+00	3.0920804e+00
6.2400351e+00	3.0861030e+00
6.2675242e+00	3.0804946e+00
6.2950134e+00	3.0752981e+00
6.3225026e+00	3.0643089e+00
6.3499918e+00	3.0425794e+00
6.3774810e+00	3.0212486e+00
6.4049702e+00	3.0003638e+00
6.4324594e+00	2.9906650e+00
6.4599485e+00	3.0159659e+00
6.4874372e+00	3.0416393e+00
6.5149264e+00	3.0677633e+00
6.5424156e+00	3.0937965e+00
6.5699048e+00	3.1158340e+00
6.5973940e+00	3.1382170e+00
6.6248832e+00	3.1608818e+00
6.6523724e+00	3.1834006e+00
6.6798615e+00	3.1736341e+00
6.7073507e+00	3.1639085e+00
6.7348399e+00	3.1541626e+00
6.7623291e+00	3.1443756e+00
6.7898178e+00	3.1494539e+00
6.8173070e+00	3.1558790e+00
6.8447962e+00	3.1622131e+00
6.8722854e+00	3.1684010e+00
6.8997746e+00	3.1523588e+00
6.9272637e+00	3.1316969e+00
6.9547529e+00	3.1110923e+00
6.9822421e+00	3.0906322e+00
7.0097313e+00	3.1066277e+00
7.0372205e+00	3.1352351e+00
7.0647097e+00	3.1641643e+00
7.0921984e+00	3.1934271e+00
7.1196876e+00	3.1942468e+00
7.1471767e+00	3.1812315e+00
7.1746659e+00	3.1687405e+00
7.2021551e+00	3.1567750e+00
7.2296443e+00	3.1314282e+00
7.2571335e+00	3.0965886e+00
7.2846227e+00	3.0618689e+00
7.3121119e+00	3.0272522e+00
7.3396010e+00	3.0290961e+00
7.3670902e+00	3.0656190e+00
7.3945789e+00	3.1024230e+00
7.4220681e+00	3.1394825e+00
7.4495573e+00	3.1650140e+00
7.4770465e+00	3.1756864e+00
7.5045357e+00	3.1865809e+00
7.5320249e+00	3.1977425e+00
7.5595140e+00	3.2197332e+00
7.5870032e+00	3.2605793e+00
7.6144924e+00	3.3019056e+00
7.6419816e+00	3.3437119e+00
7.6694708e+00	3.3706927e+00
7.6969595e+00	3.3603089e+00
7.7244487e+00	3.3502202e+00
7.7519379e+00	3.3404322e+00
7.7794271e+00	3.3259869e+00
7.8069162e+00	3.2937841e+00
7.8344054e+00	3.2619271e+00
7.8618946e+00	3.2304132e+00
7.8893838e+00	3.2013602e+00
7.9168730e+00	3.1849442e+00
7.9443622e+00	3.1688011e+00
7.9718513e+00	3.1529033e+00
7.9993401e+00	3.1367574e+00
8.0268297e+00	3.1155603e+00
8.0543184e+00	3.0946367e+00
8.0818081e+00	3.0740385e+00
8.1092968e+00	3.0538540e+00
8.1367855e+00	3.0367362e+00
8.1642752e+00	3.0214188e+00
8.1917639e+00	3.0079045e+00
8.2192535e+00	2.9961851e+00
8.2467422e+00	2.9935112e+00
8.2742319e+00	2.9911494e+00
8.3017206e+00	2.9889326e+00
8.3292103e+00	2.9868820e+00
8.3566990e+00	3.0344124e+00
8.3841887e+00	3.0860083e+00
8.4116774e+00	3.1381624e+00
8.4391661e+00	3.1908116e+00
8.4666557e+00	3.1931584e+00
8.4941444e+00	3.1908190e+00
8.5216341e+00	3.1896493e+00
8.5491228e+00	3.1897280e+00
8.5766125e+00	3.1966472e+00
8.6041012e+00	3.2048976e+00
8.6315908e+00	3.2135866e+00
8.6590796e+00	3.2227328e+00
8.6865692e+00	3.2506759e+00
8.7140579e+00	3.2827606e+00
8.7415466e+00	3.3156519e+00
8.7690363e+00	3.3493574e+00
8.7965250e+00	3.3594029e+00
8.8240147e+00	3.3661389e+00
8.8515034e+00	3.3745930e+00
8.8789930e+00	3.3847756e+00
8.9064817e+00	3.3997216e+00
8.9339714e+00	3.4158037e+00
8.9614601e+00	3.4322722e+00
8.9889498e+00	3.4491053e+00
9.0164385e+00	3.5023706e+00
9.0439272e+00	3.5616710e+00
9.0714169e+00	3.6213503e+00
9.0989056e+00	3.6813648e+00
9.1263952e+00	3.6784570e+00
9.1538839e+00	3.6702008e+00
9.1813736e+00	3.6620903e+00
9.2088623e+00	3.6541851e+00
9.2363520e+00	3.6685734e+00
9.2638407e+00	3.6834762e+00
9.2913303e+00	3.6988289e+00
9.3188190e+00	3.7104988e+00
9.3463078e+00	3.6919918e+00
9.3737974e+00	3.6743274e+00
9.4012861e+00	3.6574693e+00
9.4287758e+00	3.6306677e+00
9.4562645e+00	3.5723433e+00
9.4837542e+00	3.5138247e+00
9.5112429e+00	3.4552026e+00
9.5387325e+00	3.4258275e+00
9.5662212e+00	3.4385118e+00
9.5937109e+00	3.4517539e+00
9.6211996e+00	3.4655843e+00
9.6486883e+00	3.4532003e+00
9.6761780e+00	3.4235568e+00
9.7036667e+00	3.3958254e+00
9.7311563e+00	3.3700984e+00
9.7586451e+00	3.3773088e+00
9.7861347e+00	3.3936794e+00
9.8136234e+00	3.4102299e+00
9.8411131e+00	3.4269197e+00
9.8686018e+00	3.4863503e+00
9.8960915e+00	3.5470848e+00
9.9235802e+00	3.6085346e+00
9.9510689e+00	3.6556480e+00
9.9785585e+00	3.6488125e+00
1.0006047e+01	3.6419837e+00
1.0033537e+01	3.6351531e+00
1.0061026e+01	3.6245320e+00
1.0088515e+01	3.6097128e+00
1.0116004e+01	3.5951092e+00
1.0143494e+01	3.5807528e+00
1.0170982e+01	3.6091521e+00
1.0198472e+01	3.6536825e+00
1.0225961e+01	3.6985548e+00
1.0253449e+01	3.7433054e+00
1.0280939e+01	3.7540820e+00
1.0308428e+01	3.7648811e+00
1.0335917e+01	3.7756741e+00
1.0363406e+01	3.7637002e+00
1.0390896e+01	3.7000244e+00
1.0418385e+01	3.6359584e+00
1.0445874e+01	3.5715151e+00
1.0473363e+01	3.5534363e+00
1.0500853e+01	3.5651610e+00
1.0528341e+01	3.5770295e+00
1.0555830e+01	3.5890584e+00
1.0583320e+01	3.6195657e+00
1.0610808e+01	3.6519756e+00
1.0638298e+01	3.6846995e+00
1.0665787e+01	3.7105868e+00
1.0693276e+01	3.7128563e+00
1.0720765e+01	3.7156613e+00
1.0748255e+01	3.7190514e+00
1.0775743e+01	3.7220681e+00
1.0803233e+01	3.7245905e+00
1.0830722e+01	3.7274296e+00
1.0858211e+01	3.7305925e+00
1.0885700e+01	3.7111309e+00
1.0913189e+01	3.6878974e+00
1.0940679e+01	3.6653333e+00
1.0968167e+01	3.6521401e+00
1.0995657e+01	3.6925161e+00
1.1023146e+01	3.7331769e+00
1.1050635e+01	3.7740817e+00
1.1078124e+01	3.7967632e+00
