# Export File Created with QBlade CE v2.0.9_beta windows on 07.09.2025 at 18:27:26
[Simulation_03: NREL_MIT_5MW_TLP]
Time [s]	Abs Meas. Wind Vel. at Hub [m/s]
0.0000000e+00	5.4311023e+00
2.7489142e-02	5.4315047e+00
5.4978285e-02	5.3813434e+00
8.2467422e-02	5.3322787e+00
1.0995657e-01	5.3227334e+00
1.3744570e-01	5.3430171e+00
1.6493484e-01	5.3639135e+00
1.9242400e-01	5.3847785e+00
2.1991314e-01	5.3372722e+00
2.4740228e-01	5.2876701e+00
2.7489141e-01	5.2378583e+00
3.0238056e-01	5.2090921e+00
3.2986969e-01	5.2148538e+00
3.5735884e-01	5.2196517e+00
3.8484800e-01	5.2235465e+00
4.1233712e-01	5.1883373e+00
4.3982628e-01	5.1414757e+00
4.6731541e-01	5.0948672e+00
4.9480456e-01	5.0660038e+00
5.2229369e-01	5.1447525e+00
5.4978281e-01	5.2228427e+00
5.7727200e-01	5.3004174e+00
6.0476112e-01	5.3585281e+00
6.3225025e-01	5.3963795e+00
6.5973938e-01	5.4342690e+00
6.8722856e-01	5.4723907e+00
7.1471769e-01	5.4816136e+00
7.4220681e-01	5.4848485e+00
7.6969600e-01	5.4892921e+00
7.9718512e-01	5.4958029e+00
8.2467425e-01	5.5103316e+00
8.5216337e-01	5.5257988e+00
8.7965256e-01	5.5423012e+00
9.0714169e-01	5.5278234e+00
9.3463081e-01	5.4567060e+00
9.6211994e-01	5.3871894e+00
9.8960912e-01	5.3192821e+00
1.0170982e+00	5.2761097e+00
1.0445874e+00	5.2506313e+00
1.0720766e+00	5.2273145e+00
1.0995656e+00	5.2061324e+00
1.1270548e+00	5.1859155e+00
1.1545440e+00	5.1667933e+00
1.1820331e+00	5.1488709e+00
1.2095222e+00	5.1336045e+00
1.2370114e+00	5.1527700e+00
1.2645005e+00	5.1735315e+00
1.2919897e+00	5.1957669e+00
1.3194788e+00	5.2324429e+00
1.3469679e+00	5.3066306e+00
1.3744571e+00	5.3818536e+00
1.4019462e+00	5.4580569e+00
1.4294354e+00	5.5176806e+00
1.4569246e+00	5.5586767e+00
1.4844136e+00	5.5996208e+00
1.5119028e+00	5.6404052e+00
1.5393920e+00	5.6731133e+00
1.5668811e+00	5.7021480e+00
1.5943702e+00	5.7310324e+00
1.6218593e+00	5.7598553e+00
1.6493485e+00	5.7752361e+00
1.6768377e+00	5.7903695e+00
1.7043267e+00	5.8067265e+00
1.7318159e+00	5.8238764e+00
1.7593051e+00	5.8382120e+00
1.7867942e+00	5.8525052e+00
1.8142834e+00	5.8667955e+00
1.8417726e+00	5.8626161e+00
1.8692616e+00	5.8164415e+00
1.8967508e+00	5.7709312e+00
1.9242399e+00	5.7263479e+00
1.9517291e+00	5.6733994e+00
1.9792182e+00	5.6120315e+00
2.0067074e+00	5.5517669e+00
2.0341964e+00	5.4924488e+00
2.0616856e+00	5.4578900e+00
2.0891747e+00	5.4352331e+00
2.1166639e+00	5.4135289e+00
2.1441531e+00	5.3928423e+00
2.1716423e+00	5.4367561e+00
2.1991313e+00	5.4911313e+00
2.2266204e+00	5.5470629e+00
2.2541096e+00	5.5971079e+00
2.2815988e+00	5.5680404e+00
2.3090880e+00	5.5403538e+00
2.3365769e+00	5.5140014e+00
2.3640661e+00	5.4881725e+00
2.3915553e+00	5.4609461e+00
2.4190445e+00	5.4340634e+00
2.4465337e+00	5.4073758e+00
2.4740229e+00	5.3882604e+00
2.5015118e+00	5.3755002e+00
2.5290010e+00	5.3617654e+00
2.5564902e+00	5.3468962e+00
2.5839794e+00	5.3195667e+00
2.6114686e+00	5.2872267e+00
2.6389575e+00	5.2535644e+00
2.6664467e+00	5.2185450e+00
2.6939359e+00	5.1590104e+00
2.7214251e+00	5.1012096e+00
2.7489142e+00	5.0455122e+00
2.7764034e+00	4.9950557e+00
2.8038924e+00	4.9589386e+00
2.8313816e+00	4.9238672e+00
2.8588707e+00	4.8900061e+00
2.8863599e+00	4.8799677e+00
2.9138491e+00	4.9065685e+00
2.9413381e+00	4.9325690e+00
2.9688272e+00	4.9581890e+00
2.9963164e+00	4.9829035e+00
3.0238056e+00	5.0069962e+00
3.0512948e+00	5.0312462e+00
3.0787840e+00	5.0556989e+00
3.1062729e+00	5.0538087e+00
3.1337621e+00	5.0365615e+00
3.1612513e+00	5.0207534e+00
3.1887405e+00	5.0065298e+00
3.2162297e+00	5.0168633e+00
3.2437186e+00	5.0398993e+00
3.2712078e+00	5.0638137e+00
3.2986970e+00	5.0886784e+00
3.3261862e+00	5.0623612e+00
3.3536754e+00	5.0090508e+00
3.3811646e+00	4.9566979e+00
3.4086535e+00	4.9052663e+00
3.4361427e+00	4.9018245e+00
3.4636319e+00	4.9312549e+00
3.4911211e+00	4.9616084e+00
3.5186102e+00	4.9927702e+00
3.5460992e+00	5.0191002e+00
3.5735884e+00	5.0408020e+00
3.6010776e+00	5.0632458e+00
3.6285667e+00	5.0863733e+00
3.6560559e+00	5.0689774e+00
3.6835451e+00	4.9846196e+00
3.7110341e+00	4.9028425e+00
3.7385232e+00	4.8237095e+00
